,NAME,RATING,REVIEWS,COMPANY TYPE,COMPANY LOCATION,OLD
0,TCS,3.9,(53.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",55 years old
1,Accenture,4.1,(34.5k Reviews),Public,Dublin + 134 more,34 years old
2,Cognizant,3.9,(31.6k Reviews),Private,Teaneck. New Jersey. + 103 more,29 years old
3,ICICI Bank,4.1,(25.8k Reviews),Public,"Mumbai,Maharashtra + 1090 more",29 years old
4,HDFC Bank,4.0,(25k Reviews),Public,"Mumbai,Maharashtra + 1308 more",29 years old
5,Wipro,3.9,(24.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",78 years old
6,Infosys,3.9,(23.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old
7,Capgemini,3.9,(21.7k Reviews),Public,Paris + 77 more,56 years old
8,Tech Mahindra,3.7,(20.5k Reviews),Public,"Pune,Maharashtra + 214 more",37 years old
9,Genpact,4.0,(19.8k Reviews),Public,"New York,New York + 70 more",26 years old
10,HCLTech,3.8,(19k Reviews),Public,"Noida,Uttar Pradesh + 144 more",32 years old
11,Amazon,4.2,(18.4k Reviews),Public,"Seattle,Washington + 388 more",29 years old
12,Axis Bank,3.9,(17k Reviews),Public,"Mumbai,Maharashtra + 1136 more",30 years old
13,IBM,4.1,(15.9k Reviews),Public,"Armonk,New York + 121 more",112 years old
14,Concentrix Corpo...,4.0,(15.9k Reviews),Public,"Fremont,California + 73 more",40 years old
15,Reliance Jio,4.1,(15.6k Reviews),Public,"Navi Mumbai,Maharashtra + 1032 more",16 years old
16,Larsen & Toubro ...,4.0,(15k Reviews),Public,"Mumbai,Maharashtra + 533 more",77 years old
17,HDB Financial Se...,4.0,(14.1k Reviews),Private,"Ahmedabad,Gujrat + 819 more",16 years old
18,Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 581 more",5 years old
19,Teleperformance,3.6,(12.3k Reviews),Private,Paris + 125 more,45 years old
20,Reliance Retail,4.2,(11.5k Reviews),Private,"Navi Mumbai,Maharashtra + 756 more",17 years old
21,Kotak Mahindra B...,3.9,(10.7k Reviews),Public,"Mumbai,Maharashtra + 484 more",20 years old
22,Deloitte,4.1,(10.1k Reviews),Private,"New York,New York + 132 more",178 years old
23,Reliance Industr...,4.1,(10k Reviews),Public,"Navi Mumbai,Maharashtra + 511 more",50 years old
24,BYJU'S,3.3,(9.7k Reviews),Private,"Bangalore,Karnataka + 267 more",12 years old
25,Bharti Airtel,4.1,(9.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 541 more",28 years old
26,Tata Motors,4.2,(9k Reviews),Public,"Pune,Maharashtra + 394 more",78 years old
27,Flipkart,4.2,(7.6k Reviews),Public,"Bangalore,Karnataka + 468 more",16 years old
28,WNS,3.7,(7.3k Reviews),Private,"Mumbai,Maharashtra + 24 more",27 years old
29,IndusInd Bank,3.8,(7.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 584 more",29 years old
30,TCS,3.9,(53.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",55 years old
31,Accenture,4.1,(34.5k Reviews),Public,Dublin + 134 more,34 years old
32,Cognizant,3.9,(31.6k Reviews),Private,Teaneck. New Jersey. + 103 more,29 years old
33,ICICI Bank,4.1,(25.8k Reviews),Public,"Mumbai,Maharashtra + 1090 more",29 years old
34,HDFC Bank,4.0,(25k Reviews),Public,"Mumbai,Maharashtra + 1308 more",29 years old
35,Wipro,3.9,(24.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 227 more",78 years old
36,Infosys,3.9,(23.6k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old
37,Capgemini,3.9,(21.7k Reviews),Public,Paris + 77 more,56 years old
38,Tech Mahindra,3.7,(20.5k Reviews),Public,"Pune,Maharashtra + 214 more",37 years old
39,Genpact,4.0,(19.8k Reviews),Public,"New York,New York + 70 more",26 years old
40,HCLTech,3.8,(19k Reviews),Public,"Noida,Uttar Pradesh + 144 more",32 years old
41,Amazon,4.2,(18.4k Reviews),Public,"Seattle,Washington + 388 more",29 years old
42,Axis Bank,3.9,(17k Reviews),Public,"Mumbai,Maharashtra + 1136 more",30 years old
43,IBM,4.1,(15.9k Reviews),Public,"Armonk,New York + 121 more",112 years old
44,Concentrix Corpo...,4.0,(15.9k Reviews),Public,"Fremont,California + 73 more",40 years old
45,Reliance Jio,4.1,(15.6k Reviews),Public,"Navi Mumbai,Maharashtra + 1032 more",16 years old
46,Larsen & Toubro ...,4.0,(15k Reviews),Public,"Mumbai,Maharashtra + 533 more",77 years old
47,HDB Financial Se...,4.0,(14.1k Reviews),Private,"Ahmedabad,Gujrat + 819 more",16 years old
48,Vodafone Idea,4.2,(13.4k Reviews),Public,"Gandhinagar,Gujrat + 581 more",5 years old
49,Teleperformance,3.6,(12.3k Reviews),Private,Paris + 125 more,45 years old
